chainId,name,address,city,email,rating,imageurl
3,Sheraton Coventry,"100 Coventry Rd, Ottawa, ON K1K 4S3",Ottawa,sheraton-1@outlook.ca,5,https://images.unsplash.com/photo-1584132869994-873f9363a562?q=80&w=2070&auto=format&fit=crop
3,Sheraton Gibford,"2869 Gibford Dr, Ottawa, ON K1V 2L9",Ottawa,sheraton-2@outlook.ca,5,https://images.unsplash.com/photo-1477120128765-a0528148fed2?q=80&w=2071&auto=format&fit=crop
3,Sheraton Nepean,"125 Lusk St, Nepean, ON K2J 6S5",Nepean,sheraton-3@outlook.ca,4,https://images.unsplash.com/photo-1606402179428-a57976d71fa4?q=80&w=1974&auto=format&fit=crop
3,Sheraton Lévis Courchevel,"1176 R. de Courchevel, Lévis, QC G6W 0P7",Levis,sheraton-4@outlook.ca,2,https://images.unsplash.com/photo-1614568112072-770f89361490?q=80&w=1974&auto=format&fit=crop
3,Sheraton Québec Everell,"730 Rue d'Everell, Québec, QC G1C 0N2",Quebec,sheraton-5@outlook.ca,4,https://images.unsplash.com/photo-1535205148555-bcbbc2a78913?q=80&w=1974&auto=format&fit=crop
2,Fairmont Membertou Maillard,"60 Maillard St, Membertou, NS B1S 3W3",Membertou,fairmont-1@outlook.ca,4,https://images.unsplash.com/photo-1614957004131-9e8f2a13123c?q=80&w=2070&auto=format&fit=crop
2,Fairmont Brantford Fen Ridge,"20 Fen Ridge Ct, Brantford, ON N3V 1G2",Brantford,fairmont-2@outlook.ca,3,https://images.unsplash.com/photo-1623718649591-311775a30c43?q=80&w=2070&auto=format&fit=crop
2,Fairmont St Johns Stavanger,"411 Stavanger Dr, St. John's, NL A1A 0A1",St Johns,fairmont-3@outlook.ca,4,https://images.unsplash.com/photo-1598605272254-16f0c0ecdfa5?q=80&w=2071&auto=format&fit=crop
2,Fairmont Kent,"100 Kent St, Ottawa, ON K1P 5R7",Ottawa,fairmont-4@outlook.ca,5,https://images.unsplash.com/photo-1468824357306-a439d58ccb1c?q=80&w=1959&auto=format&fit=crop
1,Delta Coventry Suites,"200 Coventry Rd, Ottawa, ON K1K 4S3",Ottawa,delta-1@outlook.ca,2,https://images.unsplash.com/photo-1537823286324-7d070255022e?q=80&w=2070&auto=format&fit=crop
1,Delta Dalhousie,"350 Dalhousie St, Ottawa, ON K1N 7E9",Ottawa,delta-2@outlook.ca,4,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?q=80&w=2070&auto=format&fit=crop
1,Delta Lyon North,"101 Lyon St. N, Ottawa, ON K1R 5T9",Ottawa,delta-3@outlook.ca,5,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=2070&auto=format&fit=crop
7,Marriott Kanata Terry Fox,"578 Terry Fox Dr, Kanata, ON K2L 4G8",Kanata,marriott-1@outlook.ca,5,https://images.unsplash.com/photo-1582719508461-905c673771fd?q=80&w=1925&auto=format&fit=crop
7,Marriott Kanata Maritime,"1251 Maritime Way, Kanata, ON K2K 0J6",Kanata,marriott-2@outlook.ca,4,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?q=80&w=2070&auto=format&fit=crop
7,Marriott St Johns East,"411 Stavanger Dr, St. John's, NL A1A 0A1",St Johns,marriott-3@outlook.ca,4,https://images.unsplash.com/photo-1455587734955-081b22074882?q=80&w=1920&auto=format&fit=crop
